Customer_ID,Full_Name,Gender,Date_of_Birth,Region,Education_Level,Employment_Status,Annual_Income,Credit_History_Length,Credit_Score
1194,Customer_194,Male,1981-01-10,West,Bachelor,Unemployed,35350,20,516
1195,Customer_195,Male,1980-04-14,West,Master,Employed,121158,22,677
1196,Customer_196,Female,1991-06-11,West,Master,Employed,125859,8,418
1197,Customer_197,Female,2007-10-03,East,PhD,Employed,145097,21,489
1198,Customer_198,Female,1991-12-24,Central,Master,Retired,93487,19,669
1199,Customer_199,Male,1991-10-13,West,Bachelor,Unemployed,42622,6,448
1200,Customer_200,Male,1980-03-20,South,High School,Employed,148853,20,787
1201,Customer_201,Male,2004-04-09,South,Master,Self-employed,95263,19,673
1202,Customer_202,Female,2005-03-22,North,Bachelor,Self-employed,78117,4,459
1203,Customer_203,Male,2017-01-22,Central,Bachelor,Employed,128990,23,650
1204,Customer_204,Male,2009-06-16,West,Master,Retired,83394,7,587
1205,Customer_205,Female,1995-07-07,South,High School,Employed,127005,4,587
1206,Customer_206,Male,1986-01-14,Central,Bachelor,Employed,126084,22,525
1207,Customer_207,Female,1983-05-09,North,High School,Employed,48782,12,822
1208,Customer_208,Female,1988-12-01,East,Bachelor,Employed,141276,13,821
1209,Customer_209,Female,2020-01-24,Central,High School,Employed,53454,3,572
1210,Customer_210,Male,1998-02-03,Central,High School,Self-employed,92904,22,701
1211,Customer_211,Male,1996-04-22,East,High School,Employed,40592,12,482
1212,Customer_212,Male,2007-12-28,Central,Bachelor,Self-employed,47173,2,787
1213,Customer_213,Male,1996-04-04,North,Master,Employed,58204,24,423
1214,Customer_214,Male,1988-10-23,North,Bachelor,Employed,60596,2,713
1215,Customer_215,Male,2020-05-13,East,PhD,Employed,59324,23,471
1216,Customer_216,Male,1987-10-29,West,Bachelor,Employed,147258,9,587
1217,Customer_217,Female,1998-08-25,South,High School,Self-employed,136668,1,734
1218,Customer_218,Male,1992-08-09,West,Master,Employed,86202,8,412
1219,Customer_219,Female,1984-07-25,Central,High School,Employed,114400,23,421
1220,Customer_220,Male,2008-04-09,South,PhD,Employed,149184,6,843
1221,Customer_221,Male,1990-07-27,East,High School,Self-employed,138365,6,521
1222,Customer_222,Male,1999-11-05,East,PhD,Retired,55750,22,338
1223,Customer_223,Female,1994-04-14,South,High School,Self-employed,101112,18,796
1224,Customer_224,Female,2006-06-12,North,Master,Employed,41566,17,532
1225,Customer_225,Female,1994-04-14,South,Bachelor,Employed,32190,12,829
1226,Customer_226,Female,2009-02-27,Central,PhD,Employed,113607,6,448
1227,Customer_227,Male,1982-04-05,North,High School,Employed,63333,8,696
1228,Customer_228,Female,1982-10-10,East,Bachelor,Employed,146929,19,601
1229,Customer_229,Male,1988-10-02,South,PhD,Employed,105905,10,659
1230,Customer_230,Male,1988-05-18,West,Bachelor,Employed,114571,1,537
1231,Customer_231,Female,2002-08-23,West,Bachelor,Employed,145263,13,535
1232,Customer_232,Female,2003-01-06,Central,Bachelor,Self-employed,26589,17,502
1233,Customer_233,Female,1983-01-07,West,Bachelor,Employed,149467,3,555
1234,Customer_234,Female,1997-10-29,South,Bachelor,Employed,50235,8,534
1235,Customer_235,Female,1995-10-31,South,Bachelor,Self-employed,25159,14,644
1236,Customer_236,Female,1981-06-17,West,Master,Employed,37145,3,833
1237,Customer_237,Female,1997-07-11,South,High School,Self-employed,105909,16,765
1238,Customer_238,Female,2001-11-04,Central,High School,Employed,56921,13,840
1239,Customer_239,Male,1986-04-15,North,PhD,Employed,129859,20,512
1240,Customer_240,Female,1990-12-17,Central,Master,Unemployed,41237,24,762
1241,Customer_241,Female,1993-12-18,Central,Bachelor,Self-employed,132507,17,735
1242,Customer_242,Male,2006-10-23,South,Bachelor,Self-employed,33244,13,582
1243,Customer_243,Female,1995-02-24,North,High School,Employed,39743,6,762
1244,Customer_244,Male,1995-06-09,South,High School,Employed,122102,17,706
1245,Customer_245,Male,2003-01-06,East,Bachelor,Employed,71101,14,387
1246,Customer_246,Female,2000-05-16,South,Bachelor,Employed,136645,17,343
1247,Customer_247,Male,1990-11-14,South,Bachelor,Retired,146534,8,760
1248,Customer_248,Male,1995-02-05,South,High School,Employed,109227,11,577
1249,Customer_249,Male,1985-03-12,North,PhD,Retired,124532,20,720
1250,Customer_250,Male,2018-07-24,South,PhD,Employed,81378,1,652
1251,Customer_251,Female,1990-11-08,North,Bachelor,Employed,96126,7,814
1252,Customer_252,Male,1995-11-09,West,Bachelor,Employed,81071,21,318
1253,Customer_253,Female,2007-10-23,East,Bachelor,Unemployed,96121,21,322
1254,Customer_254,Male,1988-03-10,North,Master,Self-employed,99763,17,712
1255,Customer_255,Male,2020-04-29,West,Bachelor,Unemployed,118814,10,329
1256,Customer_256,Male,1984-04-29,North,High School,Self-employed,129350,11,407
1257,Customer_257,Male,2020-02-16,North,Master,Self-employed,37237,22,666
1258,Customer_258,Female,1994-03-05,East,Master,Unemployed,40649,9,580
1259,Customer_259,Female,2007-05-13,Central,Master,Employed,62713,9,427
1260,Customer_260,Male,2001-11-23,Central,Master,Employed,98463,24,528
1261,Customer_261,Male,2015-03-01,North,Bachelor,Employed,70409,5,410
1262,Customer_262,Female,1995-05-11,South,Bachelor,Retired,73766,17,435
1263,Customer_263,Male,2004-10-10,West,Master,Retired,71154,9,661
1264,Customer_264,Male,1987-07-27,South,Master,Employed,32016,17,485
1265,Customer_265,Male,1994-02-18,South,High School,Self-employed,104563,24,428
1266,Customer_266,Female,2014-01-25,North,High School,Retired,73688,21,560
1267,Customer_267,Female,2002-01-31,North,Bachelor,Employed,114678,19,814
1268,Customer_268,Female,2001-05-07,North,Master,Employed,137056,7,748
1269,Customer_269,Male,2011-03-06,North,PhD,Retired,79238,23,403
1270,Customer_270,Male,1994-09-20,Central,High School,Employed,83608,9,782
1271,Customer_271,Female,2007-04-03,North,Bachelor,Self-employed,114081,7,523
1272,Customer_272,Female,2008-09-05,Central,Bachelor,Employed,141572,13,790
1273,Customer_273,Female,2001-01-12,Central,PhD,Retired,56897,11,772
1274,Customer_274,Female,1981-09-05,North,Master,Retired,75961,14,309
1275,Customer_275,Male,1990-08-16,East,Master,Retired,93703,19,704
1276,Customer_276,Female,2018-07-16,West,Bachelor,Employed,69757,11,601
1277,Customer_277,Male,1997-10-23,South,Bachelor,Unemployed,51917,13,530
1278,Customer_278,Female,1987-06-08,Central,High School,Unemployed,47736,14,365
1279,Customer_279,Male,2017-01-25,West,High School,Employed,52990,13,411
1280,Customer_280,Female,2015-01-09,East,Master,Unemployed,87551,1,312
1281,Customer_281,Female,1982-07-22,South,Master,Employed,83161,8,692
1282,Customer_282,Female,2014-07-24,South,PhD,Employed,104623,12,799
1283,Customer_283,Female,1982-03-21,Central,PhD,Employed,47440,19,533
1284,Customer_284,Male,2019-08-13,North,Bachelor,Employed,60205,12,613
1285,Customer_285,Female,2016-09-01,East,Master,Employed,146156,8,311
1286,Customer_286,Male,2003-01-18,Central,Master,Self-employed,105811,8,508
1287,Customer_287,Male,2018-02-26,East,Master,Employed,148768,21,313
1288,Customer_288,Male,1984-04-06,North,High School,Self-employed,80103,13,717
1289,Customer_289,Male,2017-10-15,North,Bachelor,Employed,95812,12,736
1290,Customer_290,Female,1988-11-26,Central,High School,Employed,66627,16,676
1291,Customer_291,Male,1986-03-22,North,PhD,Employed,131122,1,319
1292,Customer_292,Male,2005-10-31,West,Bachelor,Self-employed,128032,13,369
1293,Customer_293,Male,1991-05-30,South,High School,Employed,44008,7,510
1294,Customer_294,Female,1983-12-30,Central,Bachelor,Self-employed,96274,5,400
1295,Customer_295,Female,1979-10-10,East,Bachelor,Unemployed,57402,8,431
1296,Customer_296,Female,2000-08-21,West,Bachelor,Self-employed,78384,14,680
1297,Customer_297,Female,2003-08-05,Central,High School,Employed,30793,23,431
1298,Customer_298,Male,2004-10-26,North,Bachelor,Employed,127827,13,319
1299,Customer_299,Male,1980-05-26,North,Bachelor,Unemployed,30571,15,835
1300,Customer_300,Female,1995-01-30,North,Master,Employed,121867,23,526
1301,Customer_301,Male,2013-12-09,North,Bachelor,Unemployed,41209,17,453
1302,Customer_302,Male,2000-12-12,East,Master,Employed,138550,15,768
1303,Customer_303,Male,1990-08-12,West,Bachelor,Retired,115930,20,704
1304,Customer_304,Female,1985-11-26,South,Bachelor,Self-employed,68148,18,501
1305,Customer_305,Female,1992-04-09,East,Master,Retired,116218,18,337
1306,Customer_306,Male,2007-08-20,East,Bachelor,Employed,27224,2,487
1307,Customer_307,Female,1995-11-14,South,High School,Self-employed,131693,4,356
1308,Customer_308,Female,1993-11-09,South,High School,Employed,73695,1,319
1309,Customer_309,Female,1981-07-29,North,Master,Employed,145779,4,572
1310,Customer_310,Female,2006-07-30,East,Bachelor,Self-employed,134988,18,418
1311,Customer_311,Female,2000-12-03,Central,Master,Unemployed,133944,5,815
1312,Customer_312,Male,1999-05-04,South,High School,Retired,57441,19,520
1313,Customer_313,Female,2003-09-24,South,High School,Self-employed,131966,15,825
1314,Customer_314,Male,2005-12-01,West,High School,Employed,64129,8,814
1315,Customer_315,Male,2017-09-18,Central,Bachelor,Employed,125252,20,635
1316,Customer_316,Female,2015-02-19,Central,Bachelor,Self-employed,87368,17,354
1317,Customer_317,Male,1996-01-04,South,Bachelor,Employed,135395,1,799
1318,Customer_318,Male,2009-10-23,North,Bachelor,Employed,117122,12,835
1319,Customer_319,Male,1988-12-28,West,Master,Employed,69760,19,461
1320,Customer_320,Female,1982-04-24,Central,Bachelor,Employed,48478,15,458
1321,Customer_321,Female,2018-05-30,South,Bachelor,Employed,96854,9,487
1322,Customer_322,Male,2019-01-21,Central,Master,Employed,119230,7,359
1323,Customer_323,Female,2000-11-20,West,Bachelor,Employed,110716,2,618
1324,Customer_324,Female,1996-06-15,West,Bachelor,Employed,37180,9,510
1325,Customer_325,Female,1987-10-09,East,Master,Retired,123538,10,705
1326,Customer_326,Female,1998-08-13,South,Master,Employed,40372,2,408
1327,Customer_327,Male,2000-06-21,West,High School,Employed,54796,19,375
1328,Customer_328,Male,2019-06-10,East,Master,Self-employed,83272,11,841
1329,Customer_329,Female,1988-12-18,East,Bachelor,Employed,143295,13,613
1330,Customer_330,Female,1996-02-16,Central,High School,Retired,114963,10,416
1331,Customer_331,Male,1981-02-27,Central,Bachelor,Self-employed,123826,14,318
1332,Customer_332,Male,2010-12-10,East,PhD,Employed,145592,18,731
1333,Customer_333,Female,1982-11-04,Central,Bachelor,Employed,118635,19,649
1334,Customer_334,Male,1991-04-01,West,Bachelor,Unemployed,136022,22,482
1335,Customer_335,Female,2017-02-10,North,Bachelor,Retired,79040,9,412
1336,Customer_336,Female,1999-08-28,West,High School,Employed,100357,7,482
1337,Customer_337,Male,2011-06-25,East,High School,Self-employed,96368,3,780
1338,Customer_338,Male,2015-04-16,East,High School,Employed,103356,20,445
1339,Customer_339,Female,1988-02-18,West,High School,Retired,41211,6,412
1340,Customer_340,Female,1991-11-24,Central,High School,Employed,130426,21,775
1341,Customer_341,Male,2006-01-06,Central,High School,Retired,30842,2,602
1342,Customer_342,Female,2000-10-16,East,Bachelor,Self-employed,88115,6,417
1343,Customer_343,Male,1999-06-16,South,High School,Self-employed,91852,3,460
1344,Customer_344,Female,1993-08-19,Central,Bachelor,Employed,70968,16,700
1345,Customer_345,Male,2007-12-25,West,Master,Employed,42508,8,497
1346,Customer_346,Male,1985-09-24,Central,Bachelor,Employed,47005,2,559
1347,Customer_347,Male,2012-03-17,West,Bachelor,Employed,79575,17,346
1348,Customer_348,Female,1999-01-05,East,High School,Employed,105742,9,698
1349,Customer_349,Female,2010-01-20,Central,High School,Self-employed,43971,12,377
1350,Customer_350,Male,2015-03-27,West,High School,Employed,50599,3,423
1351,Customer_351,Female,1995-05-20,East,High School,Employed,112592,11,374
1352,Customer_352,Male,2000-01-26,South,High School,Retired,91914,1,436
1353,Customer_353,Male,2006-01-10,West,High School,Unemployed,143062,23,699
1354,Customer_354,Female,1988-10-19,South,High School,Retired,92055,13,804
1355,Customer_355,Female,2019-12-18,South,High School,Retired,112697,15,799
1356,Customer_356,Male,2014-10-21,North,Bachelor,Employed,131239,5,437
1357,Customer_357,Female,1987-02-22,Central,High School,Employed,129397,21,349
1358,Customer_358,Female,2016-12-26,West,Bachelor,Self-employed,148106,17,553
1359,Customer_359,Male,1995-04-13,South,Bachelor,Self-employed,30355,23,725
1360,Customer_360,Male,1999-06-22,North,Bachelor,Employed,79120,24,846
1361,Customer_361,Female,2020-02-21,East,High School,Unemployed,99619,6,601
1362,Customer_362,Male,2010-01-15,West,Master,Employed,63342,21,648
1363,Customer_363,Male,2019-05-20,South,Bachelor,Employed,110992,22,348
1364,Customer_364,Female,1980-07-15,Central,High School,Employed,103860,11,373
1365,Customer_365,Male,1994-08-19,North,Master,Employed,27257,18,560
1366,Customer_366,Male,1995-06-22,South,Master,Employed,52364,4,655
1367,Customer_367,Female,2013-05-19,Central,High School,Employed,49972,3,559
1368,Customer_368,Female,1981-03-09,South,High School,Unemployed,136715,13,594
1369,Customer_369,Male,2008-03-22,West,Master,Employed,51654,23,612
1370,Customer_370,Male,1998-04-07,West,Master,Employed,105769,9,481
1371,Customer_371,Female,2015-01-31,West,High School,Unemployed,106423,21,663
1372,Customer_372,Female,2008-09-12,North,High School,Retired,54320,6,487
1373,Customer_373,Female,1985-05-13,West,Bachelor,Unemployed,45808,12,842
1374,Customer_374,Female,2017-07-16,Central,Bachelor,Unemployed,77389,2,847
